Stock,Date,EPS Reported,EPS Surprise,Beat Estimate,EPS Estimate,Net Profit Margin,Return On Assets,Current EPS Growth,Fiscal Year EPS Growth,Cash Flow Accruals,Balance Sheet Accruals,Quick Ratio,Price Earnings Ratio,Debt Equity Ratio,Return On Equity,Current Ratio,Price To Sales Ratio,Price To Book Ratio,Dividend Yield,Dividend Payout Ratio,Asset Turnover,Inventory Turnover,Cash Ratio,Gross Profit Growth,EPS Growth,Free Cash Flow Growth,Receivables Growth,Asset Growth,Debt Growth,R&D Growth
FWRD,2019-07-25,0.78,-1.27,-1,0.79,0.0646,0.023842649192734666,-0.0488,0.0796,-0.008443693229563176,0.04652483382512973,2.4358765038877,17.4682,0.0861,0.1664,2.691,1.2126,3.5796,0.011572811147159,0.200182507523,1.7375163605033,1853.8751,0.34336148173922,0.0884,-0.0602,-0.0206,0.0152,0.3167,4.0893,0.0
LH,2019-07-25,2.93,+0.34,1,2.92,0.0661,0.01073014584883118,-0.1498,-0.271,-0.0035560514866662158,-0.014842520763399201,1.2183192293363,14.5075,0.8692,0.1268,1.509,1.125,2.5946,-0.0,-0.0,0.70022798465274,48.7983,0.22715418595987,-0.0123,-0.1528,-0.4394,0.1033,0.0751,0.1626,0.0
AJG,2019-07-25,0.65,+6.56,1,0.61,0.0664,0.005734285401790597,-0.0645,0.2879,-0.021129878178986785,0.04558679029692386,0.92210408651347,21.2392,0.8025,0.1408,1.055,1.952,1.3623,0.02252760105687,0.47640094711918,0.42451328517203,0.0,0.29073515649371,0.1128,-0.0635,-0.0391,0.1683,0.183,0.3493,0.0
APD,2019-07-25,2.17,+0.93,1,2.15,0.2194,0.02498476850690409,0.0233,-0.5033,-0.011755128789313892,0.018889375888220372,1.9486378993286,24.8067,0.3511,0.138,2.173,4.1602,2.0699,0.024478846142685,0.59941247162505,0.46564085450744,24.4161,1.1937304879613,0.0622,0.0231,0.0541,0.0473,0.017,-0.0133,0.2067
ALK,2019-07-25,2.17,+1.88,1,2.13,0.1145,0.02023009806192572,0.3526,-0.5458,-0.023395876766272874,0.007664604303259766,0.54452753229096,17.1408,0.5607,0.1165,0.607,0.9079,0.8483,0.021301622670049,0.36155606407323,0.75733137829912,141.265,0.035690006798097,0.0738,0.3503,0.4957,-0.0535,0.1715,0.5238,0.0
LUV,2019-07-25,1.37,+2.24,1,1.34,0.1254,0.02809585197543035,0.0787,-0.2298,-0.008531129142337151,0.02206297587287987,0.53851992409867,10.8093,0.3427,0.2502,0.636,1.1899,1.0262,0.012550151985554,0.13468559837728,0.83698510078878,49.8638,0.23453510436433,0.0469,0.0787,-0.3369,0.0157,-0.0034,0.2855,0.0
AIMC,2019-07-25,0.71,-10.13,-1,0.79,0.0622,0.006654734040111983,-0.3077,-0.4802,-0.006379365735003901,0.6497976266756589,1.2720261050133,27.043,0.9242,0.0191,2.088,1.3789,0.8744,0.021071543161141,0.5647831130981,0.27099096191091,6.2384,0.50133491545535,1.1355,-0.3182,1.6686,0.8413,3.807,5.5179,1.371
AXE,2019-07-25,2.05,+31.41,1,1.56,0.0281,0.012930946708208605,0.8235,0.4268,0.002545461950434765,0.0450181352677619,1.0319214241866,11.6623,0.7977,0.0995,1.947,0.2148,0.5312,-0.0,-0.0,1.8052910962584,6.2709,0.049723756906077,0.0737,0.8058,-0.658,0.0855,0.0909,0.1517,0.0
AEP,2019-07-25,1,+3.09,1,0.97,0.1291,0.0063583735354927635,-0.1308,0.0052,-0.00732184700206754,0.03050731697819023,0.29249144389973,19.1641,1.3273,0.1011,0.476,2.2756,0.5361,0.034657211996454,0.65261461690404,0.23539303632992,17.2819,0.051348163907132,-0.1043,-0.1308,-2.7947,-0.2156,0.0849,0.1671,0.0
ROK,2019-07-25,2.4,+4.8,1,2.29,0.157,0.042443333116840946,0.3924,-0.337,-0.01458076248619861,-0.06702324992364252,0.93870982162815,44.0304,1.0981,0.3311,1.265,3.4738,4.6177,0.019011578526612,0.82315592903828,1.0645161290323,11.6917,0.2766328400912,-0.0193,0.3875,0.0081,0.0638,0.055,0.8247,0.0
RS,2019-07-25,2.71,+5.04,1,2.58,0.0635,0.02198844735862425,-0.1487,0.0492,-0.01956263284937133,0.018606093986414197,1.9603776283793,8.0418,0.4717,0.1356,4.699,0.4346,0.9825,0.029353330028913,0.22928830676976,1.4337654911807,6.511,0.18337862966671,-0.0696,-0.1442,9.2268,-0.021,-0.0031,0.0797,0.0
SAM,2019-07-25,2.36,+21.03,1,1.95,0.0875,0.03424932069393727,-0.2648,-0.0334,-0.01725130021024676,0.058064036048698815,1.1822028975887,30.4861,0.0,0.2013,1.922,2.8109,4.3522,-0.0,-0.0,1.5560638336113,16.4706,0.89947226048426,0.0113,-0.2646,-0.6099,0.3145,0.304,0.0,0.0
BMY,2019-07-25,1.18,+11.32,1,1.06,0.2283,0.025959429327629027,2.7826,3.9344,-0.01180138861193191,0.02093759575120008,1.3937488267317,17.2691,0.5238,0.3507,1.611,3.7605,3.1012,0.031315134316966,0.53109756097561,0.64485794317727,19.1114,0.64867655340717,0.0495,2.8261,1.2026,0.0194,0.69,2.3813,-0.4546
BJRI,2019-07-25,0.68,-6.85,-1,0.73,0.0471,0.013445505532817948,-0.1392,0.1408,-0.02665889798393209,0.008382795720763033,0.4016220707994,21.1281,0.3072,0.1643,0.522,0.9747,1.5736,0.0089008278033947,0.18679393820114,1.6068720355283,108.1947,0.19427621738408,0.04,-0.1481,-0.3287,0.0489,0.5671,4.1771,0.0
BC,2019-07-25,1.45,+2.84,1,1.41,0.0666,0.019179370421698674,-0.0111,0.858,-0.0349435755295981,0.12200478450135299,0.52204360974057,15.33,0.7714,0.1676,1.496,0.7809,1.2183,0.016803683105616,0.25555974368639,1.2021903763253,6.4422,0.24144516950501,0.1664,-0.0111,-0.2319,0.1748,0.1758,2.107,0.0308
BAX,2019-07-25,0.89,+9.88,1,0.81,0.1208,0.019550843593251255,0.0476,1.3023,-0.007181942544459644,-0.04488275525158769,1.2849083215797,21.6513,0.4461,0.2084,2.087,3.1478,3.0796,0.010755537245207,0.23152709359606,0.71139952688447,7.1145,0.6459802538787,-0.0646,0.0469,0.2651,0.0572,0.0583,0.6155,-0.046
CMS,2019-07-25,0.33,-8.33,-1,0.36,0.0644,0.003677052032263166,-0.3265,0.4146,-0.01878064210026886,0.031085142604930747,1.1608231707317,21.309,2.4623,0.1382,0.941,2.0468,0.5735,0.029353065286322,0.61948249619482,0.28019894818378,10.3979,0.066310975609756,-0.0417,-0.3265,-0.7054,0.3928,0.0849,0.165,0.0
SYK,2019-07-25,1.98,+2.06,1,1.94,0.1315,0.018213553919708584,0.0588,2.4851,-0.001290126735979358,0.10180876461781249,1.254628666528,16.5,0.8405,0.3029,2.025,4.3125,4.0465,0.012020222591316,0.19786096256684,0.49950420507547,5.0188,0.75223632203037,0.0868,0.0661,-0.2907,0.1527,0.2218,0.182,0.1389
VVI,2019-07-25,1.44,+3.6,1,1.39,0.0344,0.0113109269412632,-0.4174,-0.1519,-0.014476579164624552,0.0014339679989579036,0.39469140078769,20.8708,0.5275,0.1127,0.549,0.786,1.6516,0.0080990191862495,0.16583282489323,1.4050150616612,75.8468,0.11518557005221,0.2094,-0.4174,-0.7416,0.128,0.2431,0.613,0.0
FIX,2019-07-25,0.65,-23.53,-1,0.85,0.0372,0.016733398126535032,-0.2529,1.0408,-0.000994049547416717,0.09335056521533336,1.2648107943767,14.4158,0.1544,0.2267,1.305,0.7434,2.2136,0.0075786081096939,0.10865964589072,2.0543506085281,192.1633,0.097675235195629,0.0794,-0.2529,-0.2509,0.2964,0.5061,5.1913,0.0
INTC,2019-07-25,1.06,+19.1,1,0.89,0.2532,0.03195955918904244,-0.1238,1.2513,-0.026063215533921182,0.01876502714838463,1.1050162396247,10.2691,0.3535,0.2824,1.731,3.0232,2.3297,0.025926184335157,0.26319289412435,0.55366004235599,9.9534,0.18158306267292,-0.0519,-0.1296,0.3989,0.3445,0.038,0.0239,0.0199
SCHL,2019-07-25,0.5,-41.18,-1,0.85,0.038,0.009528879425073196,-0.6552,4.0714,-0.02022890604205483,0.014336240179270498,1.0788550323176,75.2045,0.0057,0.0123,1.774,0.7045,0.6646,0.018108498928921,1.3525641025641,0.8804365184988,5.3472,0.61698984302862,-0.1107,-0.6483,-0.2278,0.2206,0.0291,-0.0759,0.0
FCN,2019-07-25,1.73,+78.35,1,0.97,0.1066,0.025122085057613413,0.4825,0.4291,0.006591834758453007,0.02628785241532046,1.8565285865263,16.4138,0.1969,0.1117,2.0,1.2615,2.1823,-0.0,-0.0,0.85236396131176,0.0,0.64668131048345,0.2094,0.4831,0.4244,0.2238,0.1391,0.2582,0.0
APH,2019-07-24,0.92,-1.08,-1,0.93,0.1431,0.027120556704908785,0.022,0.8689,-0.003197291705849163,0.002045010175172579,1.2579039693224,20.255,0.8889,0.3,1.865,2.9765,4.4575,0.010421288006756,0.21053941908714,0.81653376340232,7.0082,0.52694488638682,0.0043,0.0211,0.3301,0.0355,0.1182,0.1559,0.0
ORLY,2019-07-24,4.51,-3.43,-1,4.67,0.1366,0.03466800392827131,0.0537,0.2707,-0.0051657806753086155,0.026291556037244784,0.07742538559124,21.1635,9.662,3.745,0.91,2.8923,3.8307,-0.0,-0.0,1.1949229581186,3.0747,0.0080418179670366,0.0618,0.0556,-0.211,0.0621,0.3135,0.7579,0.0
ARCH,2019-07-24,3.95,+23.05,1,3.21,0.1102,0.03325694749487968,0.7136,0.5396,-0.0413235037284404,-0.023940877628732777,2.0573701550093,5.2195,0.4512,0.4435,2.668,0.6363,0.8068,0.019353635353721,0.10003615109237,1.2992628745244,19.2728,0.80446050374239,0.0099,0.7674,0.6028,0.0228,-0.0307,-0.0295,0.0
ASGN,2019-07-24,1.18,-0.84,-1,1.19,0.0443,0.015398356555912826,0.2857,0.0034,-0.01907824222936763,0.19512780215072315,2.1271901362751,18.0464,0.9309,0.1334,2.227,0.8412,3.6767,-0.0,-0.0,1.2648935932733,0.0,0.13562621674238,0.0807,0.2813,0.288,0.1137,0.0463,-0.0978,0.0
ALGT,2019-07-24,4.33,-6.07,-1,4.61,0.1435,0.023654684461136073,0.3968,-0.1756,-0.015717255717255716,0.06807499746196961,0.86846784799882,10.002,1.8422,0.2344,0.964,0.9713,0.6408,0.028471934012042,0.27964425656049,0.66733435574474,89.7369,0.18659872839477,0.3072,0.3968,1.6888,0.4927,0.2824,0.3189,0.0
PKG,2019-07-24,2.04,+0.49,1,2.03,0.11,0.02736627841230352,0.0355,0.1033,-0.015379396132534208,0.02915282912463187,1.8215109573241,10.6726,0.9365,0.2762,3.049,1.1243,1.4954,0.034261567266781,0.36327913279133,1.067719987214,9.004,0.5211937716263,0.0174,0.0354,0.2738,0.0293,0.1201,0.098,0.0
USAP,2019-07-24,0.24,-20,-1,0.3,0.0294,0.005730092324258398,-0.52,0.2427,-0.00024722354227385226,0.04757090271899382,0.61388917063935,12.374,0.1972,0.045,2.955,0.5526,0.4008,-0.0,-0.0,0.72434903203894,2.036,0.062480981844,-0.2214,-0.5385,-1.198,0.1453,0.0529,0.1931,0.0
ALXN,2019-07-24,2.64,+12.82,1,2.34,0.3821,0.03156297836995545,1.9951,-0.8223,-0.005395498259848843,0.01266936093504681,2.1176320272572,278.1714,0.3499,0.0085,2.883,5.2577,4.1386,-0.0,-0.0,0.29652811174355,8.8567,1.1631175468484,0.1626,2.0,2.2091,0.3162,0.0799,-0.148,0.0819
ANIK,2019-07-24,0.68,+74.36,1,0.39,0.3102,0.032832922704305344,-0.0147,-0.3981,0.013797831321947078,-0.006452876551343459,15.926034192577,25.8538,0.0,0.071,17.977,4.5251,1.8215,-0.0,-0.0,0.37834282580567,4.8716,7.8875011072726,0.053,-0.0145,0.171,-0.0135,0.0827,0.0,-0.12
ANIK,2019-07-24,0.68,+74.36,1,0.39,0.3102,0.032832922704305344,-0.0147,-0.3981,0.013797831321947078,-0.006452876551343459,15.926034192577,25.8538,0.0,0.071,17.977,4.5251,1.8215,-0.0,-0.0,0.37834282580567,4.8716,7.8875011072726,0.053,-0.0145,0.171,-0.0135,0.0827,0.0,-0.12
KALU,2019-07-24,1.4,+6.87,1,1.31,0.0512,0.013501160255959497,-0.0328,1.0646,-0.020040784754939877,0.012159030130147977,1.6647201946472,16.1465,0.5003,0.1239,3.195,0.9291,1.089,0.02576132815251,0.41112322791712,1.1173818079335,7.4983,0.61119221411192,-0.0028,-0.0403,-0.244,-0.0685,-0.0012,0.0727,0.0
AXTI,2019-07-24,0.04,+33.33,1,0.03,0.0585,0.006783860863060451,-0.6,-0.0769,-0.03440553555565945,0.0283490214480912,2.0286669685464,18.125,0.0,0.0506,4.477,1.6796,0.7628,-0.0,-0.0,0.45810293301838,1.9614,0.5756383015779,-0.2274,-0.6,1.2883,-0.1884,-0.0264,0.0,-0.0673
HP,2019-07-24,0.4,+14.29,1,0.35,-0.2248,-0.02622910957562673,-16.75,4.6417,-0.06868068001056063,-0.01778929904767775,2.3623902345904,15.9636,0.1127,0.1101,2.958,3.0695,1.2564,0.041897490780217,0.63900537010641,0.40021258701111,16.8435,0.75392132948713,0.1913,-16.75,4.469,-0.1011,-0.0588,-0.0042,0.2897
ALGN,2019-07-24,1.83,+21.19,1,1.51,0.245,0.062719920614386,0.4077,0.7385,-0.012877997047762229,0.06997297252915247,1.696884577205,41.886,0.0,0.3194,1.882,8.5183,8.491,-0.0,-0.0,0.95811558628727,45.0364,0.92027719619173,0.1825,0.3939,0.6086,0.3892,0.2241,0.0,0.2612
ANTM,2019-07-24,4.64,+0.65,1,4.61,0.0447,0.015016281921134857,0.0955,-0.0111,-0.003928755059260919,0.007254892302495936,1.4314136125654,18.075,0.6731,0.1314,1.563,0.7375,1.615,0.011487114625705,0.20693333333333,1.2869039135963,0.0,0.17910311859777,-0.0414,0.0909,4.3568,0.0898,0.0199,0.0005,0.0
ATNI,2019-07-24,-0.05,+28.57,1,-0.07,-0.0079,-0.0007463102976871356,-1.1111,-0.3608,-0.0005300895572357225,-0.04250102360274442,1.6466761464629,57.6855,0.1308,0.0285,1.961,2.531,1.2164,0.0095304264780386,0.54837244511734,0.40748249803125,41.5802,1.3715392819054,-0.1468,-1.1111,0.4388,-0.0164,-0.0353,0.0459,0.0
SAVE,2019-07-24,1.69,+2.42,1,1.65,0.113,0.017185166374221215,9.4375,-0.6194,-0.00320766959022066,0.10950798587129536,1.3842223513693,25.4035,1.1347,0.0808,1.612,1.1898,0.7654,-0.0,-0.0,0.64331849050336,0.0,1.2039435134536,0.2712,9.4375,1.0929,0.3344,0.4231,0.7713,0.0
BHE,2019-07-24,0.36,+12.5,1,0.32,0.0157,0.005168288036728928,0.0435,1.7656,-0.02347585560961946,-0.05226152488085192,1.7243739749311,43.2245,0.1361,0.0202,2.613,0.3607,0.5343,0.02152882820113,0.92058552833414,1.350925342526,8.8668,0.852823838007,-0.024,0.087,1.8081,-0.1845,-0.1027,0.112,0.0
TUP,2019-07-24,0.98,-2,-1,1,0.0829,0.027581379068953447,-0.3571,1.5958,-0.001400070003500175,-0.029368140017798874,0.47727572124885,10.1186,-3.7793,-0.6628,0.818,0.741,1.3,0.090751929153601,0.88389993585632,1.5813722493888,7.9619,0.19628507443025,-0.1138,-0.3571,3.5882,-0.0848,0.0676,0.1879,0.0
BA,2019-07-24,-5.82,+13,1,-6.69,-0.1868,-0.023300940116108695,-2.3968,0.2888,-0.018628079929669493,0.021752473652822336,0.31065081505086,17.867,40.8466,30.8555,1.076,1.811,1.7263,0.021778651349152,0.37724665391969,0.86168934636457,1.6317,0.093602157127099,-1.436,-2.382,-1.183,0.0029,0.1154,0.5857,-0.0012
TPB,2019-07-24,0.53,+12.77,1,0.47,0.1415,0.036549080391369934,0.4043,0.2308,0.015311587483912039,0.09185173746167483,0.092886491233573,20.7786,2.6714,0.3061,1.754,1.5995,3.3663,0.0044038118104353,0.091660405709992,0.9802756226851,4.3057,0.051845811247373,0.1505,0.3958,3.1309,0.1041,0.171,0.0057,0.0
RCKY,2019-07-24,0.42,+16.67,1,0.36,0.0509,0.01608300379143055,0.2,0.5116,0.012092828896408333,0.031227837003199848,2.25609561116,13.2653,0.0,0.096,5.244,0.7636,1.2484,0.018253533631055,0.23940081082938,1.3684062318927,3.6505,0.40662722839556,0.0977,0.1944,0.0919,-0.1641,0.0385,0.0,0.0
RCKY,2019-07-24,0.42,+16.67,1,0.36,0.0509,0.01608300379143055,0.2,0.5116,0.012092828896408333,0.031227837003199848,2.25609561116,13.2653,0.0,0.096,5.244,0.7636,1.2484,0.018253533631055,0.23940081082938,1.3684062318927,3.6505,0.40662722839556,0.0977,0.1944,0.0919,-0.1641,0.0385,0.0,0.0
SCL,2019-07-24,1.5,+12.78,1,1.33,0.0639,0.019763657578183453,-0.0972,0.2321,-0.028842330251516054,0.014655289359314682,1.7136734971144,15.102,0.3419,0.1397,2.463,0.8357,1.151,0.012311156185868,0.18496479310406,1.3164126305448,9.8638,0.88662126161462,0.0331,-0.0966,0.5085,-0.0743,0.0481,-0.0853,-0.0259
MPX,2019-07-24,0.27,+28.57,1,0.21,0.1057,0.08232473167389814,0.0385,-0.7349,0.0795228977462364,0.031150508770834633,1.0279439687601,16.4217,0.0,0.3788,3.556,1.5325,4.3546,0.036982843347658,0.60558831788823,0.77354308120745,1.756,0.65729230107835,0.0489,0.0385,-1.0286,0.731,-0.0094,0.0,0.0
SCL,2019-07-24,1.5,+12.78,1,1.33,0.0639,0.019763657578183453,-0.0972,0.2321,-0.028842330251516054,0.014655289359314682,1.7136734971144,15.102,0.3419,0.1397,2.463,0.8357,1.151,0.012311156185868,0.18496479310406,1.3164126305448,9.8638,0.88662126161462,0.0331,-0.0966,0.5085,-0.0743,0.0481,-0.0853,-0.0259
SIX,2019-07-24,0.94,-4.08,-1,0.98,0.1666,0.027065082949123676,0.0682,0.0453,-0.029781836078563245,0.012193797994533177,0.43612498642632,16.9604,-3.2756,-0.4292,0.657,3.2085,3.1024,0.058746865931127,0.96756474731518,0.58145263549287,54.4747,0.12109892496471,0.0554,0.0562,0.0813,0.2981,0.1255,0.14,0.0
SEIC,2019-07-24,0.82,+3.8,1,0.79,0.3089,0.06479929578005725,0.0933,0.261,-0.015980139277007005,0.030927543968855727,3.9029583237518,14.3034,0.0,0.3175,4.027,4.4244,4.5743,0.013117488035889,0.18644784805522,0.82375278190852,0.0,2.5634713974597,0.0117,0.0779,-0.0167,0.0531,0.0328,0.0,0.0
MCRI,2019-07-24,0.5,+8.7,1,0.46,0.1478,0.017403095759226227,0.0,0.3165,-0.016701645407469507,0.1562980333174969,0.62582218857768,19.9686,0.3138,0.1132,0.785,2.8399,1.5982,-0.0,-0.0,0.52801745446875,68.3976,0.51244007065355,0.0261,0.0,0.1099,0.28,0.4285,2.606,0.0
GD,2019-07-24,2.77,+3.36,1,2.68,0.0844,0.0167658193618172,0.0573,0.1695,0.010712651329200816,0.1287940935192781,0.7665377569713,13.8756,1.0584,0.2851,1.234,1.2864,2.0043,0.02336233377866,0.32137518684604,0.79706219168428,6.4172,0.065336861388154,-0.0082,0.0566,-0.8203,0.0207,0.0196,-0.024,0.0
DTE,2019-07-24,0.99,-7.48,-1,1.07,0.063,0.004938807630729153,-0.2326,-0.0237,-0.011750020352229247,0.03598601099136393,0.44321766561514,17.8479,1.3912,0.1094,0.735,1.4119,0.6023,0.031293211287589,0.55357142857143,0.39164462081129,17.8767,0.017124831004957,0.0157,-0.2326,-2.2286,-0.1503,0.0734,0.1534,0.0
HCCI,2019-07-24,0.35,+12.9,1,0.31,0.0672,0.016305365102913753,0.1538,-0.4878,-0.021037988080630215,0.05006196422830007,1.9053548941614,35.9531,0.1145,0.0581,2.703,1.293,1.7749,-0.0,-0.0,1.1792899816573,14.9981,0.87107477662955,0.0882,0.1538,0.1635,0.0198,0.299,2.4548,0.0
KN,2019-07-24,0.22,+15.79,1,0.19,0.0288,0.0037205196115525285,0.2,-0.0133,-0.01021566401816118,-0.0006133582980921328,1.5077574047955,17.7467,0.1305,0.0559,2.574,1.452,1.9907,-0.0,-0.0,0.53420763615221,6.2243,0.51833568406206,0.0437,0.2,2.3093,0.0438,0.0213,0.0729,-0.0157
NSC,2019-07-24,2.7,-3.23,-1,2.79,0.2468,0.019423221779834285,0.08,-0.489,-0.009388787259227375,0.007338429464906185,0.52759552296411,15.6096,0.7255,0.1735,0.719,3.5544,1.1238,0.020920141137089,0.3165791447862,0.31617870250283,53.4172,0.1381705905056,0.0279,0.0794,0.049,0.0039,0.0387,0.1898,0.0
MANH,2019-07-23,0.42,+23.53,1,0.34,0.1356,0.05622234223486833,-0.2381,-0.0595,-0.043782225410617895,-0.012609600655795675,1.3814434409076,26.8165,0.0,0.7115,1.483,4.954,11.2776,-0.0,-0.0,1.8204688263064,0.0,0.6823851745787,-0.0003,-0.2381,1.3157,0.0119,0.2724,0.0,0.2102
JBLU,2019-07-23,0.6,+5.26,1,0.57,0.085,0.015930936276254894,2.5128,-0.824,-0.03284086863652545,0.056798457087753135,0.45821782178218,26.7667,0.5552,0.0401,0.55,0.6392,0.4467,-0.0,-0.0,0.69878638561913,115.1579,0.21108910891089,0.185,2.5385,7.3448,0.2533,0.1304,0.7511,0.0
AGR,2019-07-23,0.33,-15.38,-1,0.39,0.0786,0.0033191515041791136,0.0588,0.561,-0.011828248996711022,0.007769666969516589,0.39946737683089,26.0885,0.4204,0.0394,0.653,2.3893,0.5398,0.035255754826507,0.90252100840336,0.20138651412939,28.8552,0.011984021304927,-0.0403,0.0286,-8.98,0.0334,0.0563,0.2379,0.0
AVY,2019-07-23,1.72,+2.38,1,1.68,0.0799,0.026606304618067796,0.5794,0.6869,-0.01113234502848025,0.003936244473745443,0.7129889669007,16.7907,2.0586,0.4894,1.152,1.088,1.8902,0.022545481657187,0.37441163885323,1.3827136648962,11.3545,0.11634904714142,-0.0381,0.5596,0.0867,-0.0034,0.0439,0.2317,0.0
ATI,2019-07-23,0.4,+17.65,1,0.34,0.0695,0.013533238426468204,0.0385,2.9398,0.008920043969509668,0.02960550939441575,1.0871071812642,12.2303,0.8178,0.1179,2.685,0.6762,0.5509,-0.0,-0.0,0.735504743902,3.3902,0.45644640936791,0.023,0.0345,-0.4972,-0.0651,0.0289,-0.0021,0.0
BIIB,2019-07-23,9.15,+21.51,1,7.53,0.4131,0.05683668345531734,0.878,0.8104,-0.017875348072855644,0.03343379340641378,1.8279315367808,13.9122,0.4553,0.3398,2.319,4.5068,3.6522,-0.0,-0.0,0.53196857119131,14.6818,0.37163146394756,0.0698,0.878,0.9539,0.0346,0.0975,0.0747,-0.5058
SWK,2019-07-23,2.66,+4.72,1,2.54,0.0947,0.016553922206322364,0.4364,-0.514,-0.0067228530543217676,0.008050693398431414,0.47393542582967,29.4926,0.5358,0.0772,1.142,1.2936,2.5963,0.021497312313175,0.63598810310641,0.7204451772465,6.3679,0.072146141543383,0.0474,0.4431,3.679,-0.1843,0.0526,0.0941,0.0
CNC,2019-07-23,1.34,+8.94,1,1.23,0.027,0.014402932960893854,0.5733,-0.0342,-0.012278864059590316,0.17146864811585413,0.93676384596107,24.9567,0.6124,0.0824,1.002,0.3939,1.0938,-0.0,-0.0,1.9454386589431,0.0,0.44624509230641,0.1673,0.5584,2.1299,0.2771,0.1957,0.1362,0.0
FELE,2019-07-23,0.7,-2.78,-1,0.72,0.0922,0.02579030813688357,0.0938,0.3515,0.02021402529647631,-0.0012619746101520536,0.90703791571073,19.0578,0.2812,0.1443,2.266,1.5441,2.5101,0.011349241216786,0.21356857485573,1.0979088521734,4.1449,0.23127371930414,0.0314,0.0769,-0.9013,0.0691,0.0443,-0.1183,0.0
SHW,2019-07-23,6.57,+3.14,1,6.37,0.0966,0.022231661309074953,0.1835,-0.3588,-0.015243364811780685,-0.01960449862473022,0.50590995700771,33.0084,2.5045,0.2972,1.011,2.1009,5.2807,0.0088119706403114,0.29126057726477,0.91639162364048,9.8571,0.036182911651151,0.0701,0.182,0.4985,0.0129,0.0543,0.0776,0.0
GPK,2019-07-23,0.24,+14.29,1,0.21,0.0411,0.008757601131075758,0.375,-0.2604,-0.023074494516204306,0.18421096777440404,0.54883562228099,14.9859,1.8722,0.14,1.505,0.5483,0.6507,-0.0,-0.0,0.85321282864914,7.3077,0.060138189883136,0.2118,0.375,1.8025,-0.0874,0.0291,0.0271,0.0
IPG,2019-07-23,0.46,+4.55,1,0.44,0.0673,0.010256006873642365,0.1622,0.1357,-0.007442412067598885,0.10293380406001765,0.94789448417632,12.8137,1.5603,0.2586,1.007,0.8162,0.8201,0.041607693477215,0.52043948941671,0.62190867012797,0.0,0.082891222196236,0.1099,0.1579,0.8367,0.028,0.3374,1.6933,0.0
FE,2019-07-23,0.61,+1.67,1,0.6,0.124,0.007631347226298797,1.0714,1.5129,-0.012107425887877898,-0.026652089407191448,0.41432887354338,18.8693,2.8623,0.1978,0.516,1.7054,0.5592,0.03921771870431,0.52744807121662,0.28108229538477,46.1516,0.092576607682348,0.0484,1.0714,2.0076,-0.1124,0.0491,0.0741,0.0
KO,2019-07-23,0.63,+3.28,1,0.61,0.2608,0.028967954131294726,0.1296,4.1724,-0.013278367927463442,-0.027350507270092105,0.68792995622264,31.3576,2.6037,0.3789,0.866,6.3268,3.2746,0.033233573954179,1.032639104756,0.38281099788502,11.1268,0.38572719060524,0.0337,0.1296,1.0358,0.0708,0.0045,-0.0369,0.0
NEOG,2019-07-23,0.3,+3.45,1,0.29,0.1441,0.022731192686923276,-0.0909,-0.0496,-0.00727570644206169,0.05916731430433059,9.1528587487909,48.5776,0.0,0.0943,11.752,7.091,5.6008,-0.0,-0.0,0.59531721620145,5.1135,1.0898538600298,0.0419,-0.1176,0.0104,0.0442,0.1258,0.0,0.827
NWE,2019-07-23,0.5,-13.79,-1,0.58,0.1761,0.008331883851490316,0.0805,0.1737,0.002530052347417635,0.02019458499652924,0.51204435619825,15.0863,1.0938,0.1014,0.8,2.5093,0.5658,0.037056245290955,0.55443744922827,0.2111852576795,23.0904,0.044122774913619,-0.0638,0.0682,-6.0022,-0.0304,0.0517,0.0723,0.0
KMB,2019-07-23,1.67,+3.73,1,1.61,0.1056,0.03160226754414543,0.0769,-0.3703,-0.00807975500097739,-0.021335400586470727,0.41355569155447,28.1333,-25.9756,-4.9129,0.771,2.1345,3.0249,0.035716257808653,0.98297872340426,1.2733158837305,10.2614,0.082466340269278,0.0213,0.0846,-0.434,0.0486,0.0538,0.0675,0.0
LMT,2019-07-23,5,+4.82,1,4.77,0.0984,0.02968227424749164,0.2346,1.6059,-0.005183946488294315,-0.019060942554865786,0.22336435616058,14.7599,10.1176,3.6198,1.118,1.3853,2.4328,0.031946941158268,0.46512088783195,1.1980123005615,18.302,0.053618558133074,0.1369,0.2328,5.2232,0.0258,0.0602,-0.0486,0.0
UTX,2019-07-23,2.2,+7.32,1,2.05,0.0968,0.013670048204906828,-0.1406,0.1404,-0.0015180948269659688,0.16134140379265438,0.65107753124203,16.1824,1.1844,0.137,1.132,1.2825,1.4282,0.025754124646611,0.41184285443158,0.49549589824977,6.6621,0.1961234378985,0.219,-0.1429,-0.0497,0.1438,0.3684,0.6782,0.2615
CSL,2019-07-23,2.65,+12.77,1,2.35,0.1163,0.028332128893583115,0.4324,0.7548,0.012155576556043508,-0.004796663190823775,2.5216588314305,9.9623,0.6113,0.2353,3.453,1.3362,2.1039,0.01549880491191,0.15300278186876,0.85336813228682,9.8852,1.3492276695769,0.1866,0.4409,2.1523,0.0879,-0.0058,0.0016,0.0845
