Stock,Date,EPS Reported,EPS Surprise,Beat Estimate,EPS Estimate,Net Profit Margin,Return On Assets,Current EPS Growth,Fiscal Year EPS Growth,Cash Flow Accruals,Balance Sheet Accruals,Quick Ratio,Price Earnings Ratio,Debt Equity Ratio,Return On Equity,Current Ratio,Price To Sales Ratio,Price To Book Ratio,Dividend Yield,Dividend Payout Ratio,Asset Turnover,Inventory Turnover,Cash Ratio,Gross Profit Growth,EPS Growth,Free Cash Flow Growth,Receivables Growth,Asset Growth,Debt Growth,R&D Growth
NKE,2019-09-24,0.86,+22.86,1,0.7,0.0971,0.041700046380233585,-0.1014,1.1282,-0.04304928953914913,0.025533478909476142,1.1359013475718,30.251,0.3848,0.4457,2.101,3.0995,5.2037,0.010930750266839,0.33060312732688,1.6493232702281,7.1886,0.56775997965929,0.0582,-0.1,-0.1196,0.2213,0.0524,-0.0869,0.0
JBL,2019-09-24,0.88,+2.33,1,0.86,0.0071,0.003448550164698765,0.12,-0.2899,0.003060645770799182,0.04103625171530656,0.40814117465484,59.12,1.2915,0.0443,1.044,0.2254,0.4429,0.01146156460678,0.66990617398355,1.8343080289376,6.905,0.17396917357005,0.1144,0.12,0.7111,0.6995,0.1283,0.1973,0.1356
CMD,2019-09-23,0.63,+3.28,1,0.61,0.0358,0.007691996465915753,-0.5556,0.2749,-0.010460174276646535,0.101329595601575,1.5783815466342,42.5275,0.324,0.1495,2.51,4.4349,8.4374,0.0018361068061473,0.077887984534441,0.90475745765315,8.4523,0.69813700540869,0.021,-0.5556,-0.7617,0.2484,0.1527,0.38,0.1192
EBF,2019-09-23,0.37,-5.13,-1,0.39,0.0892,0.02496352143229241,0.0278,0.1154,-0.015651443721928348,0.04858459779011269,4.0729532302438,14.6207,0.1038,0.1295,5.255,1.3819,2.5118,0.041732055250042,0.60397467745813,1.1038241734029,12.9512,2.7967618505518,0.083,0.0,0.3911,0.1555,0.161,0.6122,0.0
NTWK,2019-09-23,0.3,+57.89,1,0.19,0.074,0.013816371962596692,-0.56,1.8261,0.050985601874586374,0.00048608782608429267,2.481581826041,14.6053,0.1422,0.0686,2.548,1.0437,0.8134,-0.0,-0.0,0.61068100305328,0.0,0.98139386758261,-0.0691,-0.5769,-2.0451,-0.2542,-0.117,-0.0605,1.5995
SCS,2019-09-20,0.5,+16.28,1,0.43,0.0216,0.00789112027308596,0.0714,0.5441,0.0393669370926985,0.07077169132347061,1.0947580645161,16.5566,0.5731,0.1483,1.594,0.5952,1.1499,0.031677122547537,0.51031746031746,1.6071695294996,16.8207,0.43901209677419,0.0862,0.0714,0.3573,0.1951,0.2852,1.3962,0.0
SCHL,2019-09-19,-1.59,+11.67,1,-1.8,0.038,0.009528879425073196,-0.6552,4.0714,-0.02022890604205483,0.014336240179270498,1.0788550323176,75.2045,0.0057,0.0123,1.774,0.7045,0.6646,0.018108498928921,1.3525641025641,0.8804365184988,5.3472,0.61698984302862,-0.1107,-0.6483,-0.2278,0.2206,0.0291,-0.0759,0.0
DRI,2019-09-19,1.38,+1.47,1,1.36,0.0933,0.03529731197393429,0.2014,0.203,-0.023706896551724137,0.037245652326973175,0.37012414354521,20.4377,0.3877,0.2982,0.606,1.707,3.863,0.025416313805109,0.51976450798991,1.4442030953027,41.2525,0.31022318702937,0.0375,0.1901,0.4787,0.055,0.0774,0.0013,0.0
SCS,2019-09-19,0.5,+16.28,1,0.43,0.0216,0.00789112027308596,0.0714,0.5441,0.0393669370926985,0.07077169132347061,1.0947580645161,16.5566,0.5731,0.1483,1.594,0.5952,1.1499,0.031677122547537,0.51031746031746,1.6071695294996,16.8207,0.43901209677419,0.0862,0.0714,0.3573,0.1951,0.2852,1.3962,0.0
GIS,2019-09-18,0.79,+2.6,1,0.77,0.1301,0.01717403639338638,0.3077,-0.2033,-0.0016989298391459826,-0.008443209209815724,0.30050373213303,17.4966,2.054,0.2485,0.591,1.8139,3.4188,0.038627473216081,0.67421692246249,0.56009723956534,10.5358,0.063495647020643,0.0348,0.303,0.0158,0.0008,-0.0079,-0.0836,0.0
